budget,genres,keywords,overview,release_date,tagline,title,cast,director
45000000,Crime Adventure Action Comedy Thriller,buddhist monk cooking prime minister kitchen secret agent,"The most prominent heads of state in the world begin gathering for a conference that could have a major impact on global politics. When MI-7 receives word that the Chinese premier has become the target of some high-powered killers, it falls on Johnny English to save the day. Armed with the latest high-tech weaponry and gadgets that would make even James Bond jealous, the once-disgraced agent uncovers evidence of a massive conspiracy involving some of the world's most powerful organisations, and vows to redeem his tarnished reputation by stopping the killers before they can strike.",9/15/2011,One man. One mission. No chance.,Johnny English Reborn,Rowan Atkinson Dominic West Gillian Anderson Rosamund Pike Daniel Kaluuya,Oliver Parker
65000000,Animation Action Comedy Family,supermarket fight product placement computer animation food,"Dex, a superdog sleuth, is the law of the land when the world's most recognized brands take on the forces of evil and the devilish Brand X.",6/15/2012,When good food... goes bad!,Foodfight!,Charlie Sheen Wayne Brady Hilary Duff Eva Longoria Christopher Lloyd,Lawrence Kasanoff
44500000,Drama Thriller,cia wife husband relationship document revolution hiding place,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",10/11/2012,The movie was fake. The mission was real.,Argo,Ben Affleck Bryan Cranston Alan Arkin John Goodman Victor Garber,Ben Affleck
44000000,Adventure Action Thriller Crime Mystery,chicago showdown undercover surgeon death sentence,"Wrongfully accused of murdering his wife, Richard Kimble escapes from the law in an attempt to find her killer and clear his name. Pursuing him is a team of U.S. marshals led by Deputy Samuel Gerard, a determined detective who will not rest until Richard is captured. As Richard leads the team through a series of intricate chases, he discovers the secrets behind his wife's death and struggles to expose the killer before it is too late.",8/6/1993,A murdered wife. A one-armed man. An obsessed detective. The chase begins.,The Fugitive,Harrison Ford Tommy Lee Jones Sela Ward Julianne Moore Joe Pantoliano,Andrew Davis
40000000,Action,bounty hunter ex-husband ex-wife relationship,"Milo Boyd is a bounty hunter whose latest gig is rather satisfying, as he finds out that the bail-skipper he must chase down is his own ex-wife, Nicole -- but she has no intention of getting nabbed without a fight. Complicating matters, Nicole's wannabe-boyfriend, Stewart, joins the chase.",3/16/2010,"It's a Job. It Isn't Personal. Well, Maybe a Little...",The Bounty Hunter,Gerard Butler Jennifer Aniston Gio Perez Siobhan Fallon Joel Garland,Andy Tennant
44000000,Crime Drama Thriller,child abuse sadistic sexual abuse pastor repayment,Two gangsters seek revenge on the state jail worker who during their stay at a youth prison sexually abused them. A sensational court hearing takes place to charge him for the crimes. A moving drama from director Barry Levinson.,10/18/1996,When friendship runs deeper than blood.,Sleepers,Robert De Niro Brad Pitt Kevin Bacon Jason Patric Ron Eldard,Barry Levinson
44000000,Action Adventure Thriller War,usa vietnam veteran submachine gun prisoner prisoners of war,John Rambo is released from prison by the government for a top-secret covert mission to the last place on Earth he'd want to return - the jungles of Vietnam.,5/21/1985,"What most people call hell, he calls home.",Rambo: First Blood Part II,Sylvester Stallone Richard Crenna Charles Napier Steven Berkoff Julia Nickson,George P. Cosmatos
44000000,Drama Thriller,jurors blackmail court case son trial,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",2/2/1996,There is no defense.,The Juror,Demi Moore Alec Baldwin Joseph Gordon-Levitt Anne Heche James Gandolfini,Brian Gibson
2600000,Animation Family,italy lie magic fairy pinocchio,"Lonely toymaker Geppetto has his wishes answered when the Blue Fairy arrives to bring his wooden puppet Pinocchio to life. Before becoming a real boy, however, Pinocchio must prove he's worthy as he sets off on an adventure with his whistling sidekick and conscience, Jiminy Cricket. From Stromboli's circus to Pleasure Island, Pinocchio is tested by many temptations, but slowly learns how to navigate right from wrong. With a few mishaps along the way, Geppetto's ""little woodenhead"" finally gets it right, proving that when you wish upon a star dreams really can come true!",2/23/1940,For anyone who has ever wished upon a star.,Pinocchio,Mel Blanc Don Brodie Walter Catlett Marion Darlington Frankie Darro,Ben Sharpsteen
44000000,Action Drama History Western,montana showdown brothel marshal dance,"Harvard graduate James Averill (Kris Kristofferson) is the sheriff of prosperous Jackson County, Wyo., when a battle erupts between the area's poverty-stricken immigrants and its wealthy cattle farmers. The politically connected ranch owners fight the immigrants with the help of Nathan Champion (Christopher Walken), a mercenary competing with Averill for the love of local madam Ella Watson (Isabelle Huppert). As the struggle escalates, Averill and Champion begin to question their decisions.",11/19/1980,The only thing greater than their passion for America... was their passion for each other.,Heaven's Gate,Kris Kristofferson Christopher Walken John Hurt Isabelle Huppert Sam Waterston,Michael Cimino
50000000,Fantasy Action Science Fiction Thriller,budapest key vampire light werewolf,"As the war between the vampires and the Lycans rages on, Selene, a former member of the Death Dealers (an elite vampire special forces unit that hunts werewolves), and Michael, the werewolf hybrid, work together in an effort to unlock the secrets of their respective bloodlines.",1/12/2006,"My God. Brother, what have you done?",Underworld: Evolution,Kate Beckinsale Scott Speedman Tony Curran Shane Brolly Derek Jacobi,Len Wiseman
40000000,Drama Science Fiction Thriller,london england human experimentation frankenstein reanimated corpse frankenstein's monster,Eccentric scientist Victor Von Frankenstein creates a grotesque creature in an unorthodox scientific experiment.,11/10/2015,Discover the origin of the monster and his creation.,Victor Frankenstein,James McAvoy Daniel Radcliffe Jessica Brown Findlay Andrew Scott Charles Dance,Paul McGuigan
43000000,Drama,upper class brother brother relationship scotland poetry based on novel,Gus van Sant tells the story of a young African American man named Jamal who confronts his talents while living on the streets of the Bronx. He accidentally runs into an old writer named Forrester who discovers his passion for writing. With help from his new mentor Jamal receives a scholarship to a private school.,12/21/2000,"In an ordinary place, he found the one person to make his life extraordinary.",Finding Forrester,Sean Connery Rob Brown F. Murray Abraham Anna Paquin Busta Rhymes,Gus Van Sant
43000000,Comedy Drama,alcoholism urteil car crash wedding withdrawal,"After getting into a car accident while drunk on the day of her sister's wedding, Gwen Cummings is given a choice between prison or a rehab center. She chooses rehab, but is extremely resistant to taking part in any of the treatment programs they have to offer, refusing to admit that she has an alcohol addiction.",4/6/2000,The Life of the Party... before she got a life.,28 Days,Sandra Bullock Viggo Mortensen Dominic West Elizabeth Perkins Alan Tudyk,Betty Thomas
45000000,Action Crime,martial arts hitman serial killer,"Raised as a slave, Danny is used to fighting for his survival. In fact, his ""master,"" Bart, thinks of him as a pet and goes as far as leashing him with a collar so they can make money in fight clubs, where Danny is the main contender. When Bart's crew is in a car accident, Danny escapes and meets a blind, kindhearted piano tuner who takes him in and uses music to free the fighter's long-buried heart.",2/2/2005,Serve No Master,Unleashed,Jet Li Morgan Freeman Bob Hoskins Vincent Regan Dylan Brown,Louis Leterrier
43000000,Romance Comedy,roommate marriage aftercreditsstinger duringcreditsstinger,"Christina's love life is stuck in neutral. After years of avoiding the hazards of a meaningful relationship, one night while club-hopping with her girlfriends, she meets Peter, her perfect match. Fed up with playing games, she finally gets the courage to let her guard down and follow her heart, only to discover that Peter has suddenly left town. Accompanied by Courtney, she sets out to capture the one that got away.",4/12/2002,A romantic comedy without the sugar.,The Sweetest Thing,Cameron Diaz Christina Applegate Thomas Jane Selma Blair Jason Bateman,Roger Kumble
42000000,Drama Mystery Thriller,fbi law tennessee lawyer law firm,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan...",6/30/1993,Power can be murder to resist.,The Firm,Tom Cruise Jeanne Tripplehorn Gene Hackman Holly Hunter Ed Harris,Sydney Pollack
44000000,Drama,brother brother relationship based on novel sailing ghost young adult,"Accomplished sailor Charlie St. Cloud has the adoration of his mother Claire and his little brother Sam, as well as a college scholarship that will lead him far from his sleepy Pacific Northwest hometown. But his bright future is cut short when a tragedy strikes and takes his dreams with it. After his high-school classmate Tess returns home unexpectedly, Charlie grows torn between honoring a promise he made four years earlier and moving forward with newfound love. And as he finds the courage to let go of the past for good, Charlie discovers the soul most worth saving is his own.",5/1/2010,Life is for living.,Charlie St. Cloud,Zac Efron Amanda Crew Charlie Tahan Augustus Prew Donal Logue,Burr Steers
40000000,Action Thriller Crime,poison chicago prostitute martial arts assassin,"Arthur Bishop is a 'mechanic' - an elite assassin with a strict code and unique talent for cleanly eliminating targets. It's a job that requires professional perfection and total detachment, and Bishop is the best in the business. But when he is ordered to take out his mentor and close friend Harry, Bishop is anything but detached.",1/13/2011,Someone has to fix the problems.,The Mechanic,Jason Statham Ben Foster Donald Sutherland Mini Anden Tony Goldwyn,Simon West
42000000,Action Comedy Crime,male friendship high school parody crude humor based on tv series,"In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.",3/12/2012,They thought the streets were mean. Then they went back to high school.,21 Jump Street,Channing Tatum Jonah Hill Brie Larson Dave Franco Ellie Kemper,Phil Lord
42000000,Romance Comedy Drama,london england bookshop birthday new love film maker,The British comedy from director Roger Michell tells the love story between a famous actress and a simple book seller from London. A look into the attempt for famous people to have a personal and private life and the ramifications that follow. Nominated for three Golden Globes in 2000.,5/13/1999,Can the most famous film star in the world fall for the man on the street?,Notting Hill,Julia Roberts Hugh Grant Gina McKee Tim McInnerny Rhys Ifans,Roger Michell
45000000,Animation Comedy Family,chicken freedom escape chicken farm pie machine,"Having been hopelessly repressed and facing eventual certain death at the British chicken farm where they are held, Rocky the american rooster and Ginger the chicken decide to rebel against the evil Mr. and Mrs. Tweedy, the farm's owners. Rocky and Ginger lead their fellow chickens in a great escape from the murderous farmers and their farm of doom.",6/21/2000,This ain't no chick flick. It's poultry in motion.,Chicken Run,Mel Gibson Miranda Richardson Timothy Spall Imelda Staunton Jane Horrocks,Nick Park
42000000,Comedy Romance,beach honeymoon bride chance risk,"Reuben Feffer is a guy who's spent his entire life playing it safe. Polly Prince is irresistible as a free-spirit who lives for the thrill of the moment. When these two comically mismatched souls collide, Reuben's world is turned upside down, as he makes an uproarious attempt to change his life from middle-of-the-road to totally-out-there.",1/16/2004,"For the most cautious man on Earth, life is about to get interesting.",Along Came Polly,Ben Stiller Jennifer Aniston Philip Seymour Hoffman Debra Messing Alec Baldwin,John Hamburg
40000000,Comedy Romance,role of women ladykiller success ladies' man chefin,"Marcus is a successful advertising executive who woos and beds women almost at will. After a company merger he finds that his new boss, the ravishing Jacqueline, is treating him in exactly the same way. Completely traumatised by this, his work goes badly downhill.",6/30/1992,A Player Who's About to be Played.,Boomerang,Eddie Murphy Robin Givens Halle Berry David Alan Grier Grace Jones,Reginald Hudlin
43000000,Action Comedy Crime,boston fbi buddy comedy,"Uptight and straight-laced, FBI Special Agent Sarah Ashburn is a methodical investigator with a reputation for excellence--and hyper-arrogance. Shannon Mullins, one of Boston P.D.'s ""finest,"" is foul-mouthed and has a very short fuse, and uses her gut instinct and street smarts to catch the most elusive criminals. Neither has ever had a partner, or a friend for that matter. When these two wildly incompatible law officers join forces to bring down a ruthless drug lord, they become the last thing anyone expected: Buddies.",6/27/2013,Action's never been so hot!,The Heat,Sandra Bullock Melissa McCarthy Demi\u00e1n Bichir Michael Rapaport Taran Killam,Paul Feig
31115000,Drama History Romance,ancient rome historical figure cleopatra julius caesar,"Historical epic. The triumphs and tragedy of the Egyptian queen, Cleopatra.The winner of four Oscars, this epic saga of love, greed and betrayal stars Elizabeth Taylor as the passionate and ambitious Egyptian queen who's determined to hold on to the throne and seduces the Roman emperor Julius Caesar (Rex Harrison). When Caesar is murdered, she redirects her attentions to his general, Marc Antony (Richard Burton), who vows to take power -- but Caesar's successor (Roddy McDowall) has other plans.",6/12/1963,The motion picture the world has been waiting for!,Cleopatra,Elizabeth Taylor Richard Burton Rex Harrison Roddy McDowall Martin Landau,Joseph L. Mankiewicz
0,Comedy,high school teacher prize money physics teacher fighting movie budget cutting,A high school biology teacher moonlights as a mixed-martial arts fighter in an effort to raise money to save the school's music program.,10/11/2012,No one will fight for his students like Mr. Voss.,Here Comes the Boom,Salma Hayek Kevin James Henry Winkler Joe Rogan Reggie Lee,Frank Coraci
42000000,Drama Mystery Thriller Crime,based on novel witness village court love,"High powered lawyer Claire Kubik finds her world turned upside down when her husband, who she thought was Tom Kubik, is arrested and is revealed to be Ron Chapman. Chapman is on trial for a murder of Latin American villagers while he was in the Marines. Claire soon learns that to navigate the military justice system, she'll need help from the somewhat unconventional Charlie Grimes.",4/3/2002,Everything you trust. Everything you know. May be a lie...,High Crimes,Ashley Judd Morgan Freeman Jim Caviezel Amanda Peet Adam Scott,Carl Franklin
42000000,Comedy Drama Romance,sex professor wedding woman director columbia university,"Rose Morgan (Barbara Streisand), who still lives with her mother (Lauren Bacall), is a professor of Romantic Literature who desperately longs for passion in her life. Gregory Larkin (Jeff Bridges), a mathematics professor, has been burned by passionate relationships and longs for a sexless union based on friendship and respect.",11/15/1996,A story about just how wrong two people can be before they can be right.,The Mirror Has Two Faces,Barbra Streisand Jeff Bridges Lauren Bacall George Segal Mimi Rogers,Barbra Streisand
32000000,Drama Horror Mystery,based on novel small town dream motel hallucination,Reporter John Klein is plunged into a world of impossible terror and unthinkable chaos when fate draws him to a sleepy West Virginia town whose residents are being visited by a great winged shape that sows hideous nightmares and fevered visions.,1/25/2002,What do you see?,The Mothman Prophecies,Richard Gere Laura Linney Will Patton Bob Tracey Debra Messing,Mark Pellington
42000000,Comedy,gay fame mockumentary hollywood lgbt,Flamboyantly gay Austrian television reporter Bruno stirs up trouble with unsuspecting guests and large crowds through brutally frank interviews and painfully hilarious public displays of homosexuality.,7/8/2009,Borat was so 2006,Brüno,Sacha Baron Cohen Richard Bey Ron Paul Gustaf Hammarsten Clifford Ba\u00f1agale,Larry Charles
32000000,Adventure Action Thriller,corruption florida secret identity liberation of prisoners drug traffic,James Bond and his American colleague Felix Leiter arrest the drug lord Sanchez who succeeds in escaping and takes revenge on Felix and his wife. Bond knows but just one thing: revenge.,7/7/1989,His bad side is a dangerous place to be.,Licence to Kill,Timothy Dalton Carey Lowell Robert Davi Talisa Soto Anthony Zerbe,John Glen
42000000,Fantasy Thriller Horror,winter fantasy fairy tale hood werewolf,"Valerie is in love with a brooding outsider, Peter, but her parents have arranged for her to marry another man – who is wealthy. Unwilling to lose each other, Valerie and Peter plan to run away together when they learn that Valerie's older sister has been killed by a werewolf that prowls the dark forest surrounding their village. Hungry for revenge, the people call on famed werewolf hunter, Father Solomon, to help them kill the wolf. But Solomon's arrival brings unintended consequences as he warns that the wolf, who takes human form by day, could be any one of them.",3/11/2011,Who's afraid?,Red Riding Hood,Amanda Seyfried Gary Oldman Billy Burke Shiloh Fernandez Max Irons,Catherine Hardwicke
60000000,Action Crime Thriller,new york female nudity prison prostitute rape,"When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story.""",3/1/2001,America Likes to Watch,15 Minutes,Robert De Niro Charlize Theron Edward Burns Kelsey Grammer Avery Brooks,
,,,,,,,,
48000000,Adventure Comedy Family Fantasy,saving the world brother brother relationship royalty dinosaur based on video game,"Mario and Luigi, plumbers from Brooklyn, find themselves in an alternate universe where evolved dinosaurs live in hi-tech squalor. They're the only hope to save our universe from invasion by the dino dictator, Koopa.",5/28/1993,This Ain't No Game.,Super Mario Bros.,Bob Hoskins John Leguizamo Dennis Hopper Samantha Mathis Fisher Stevens,Annabel Jankel
42000000,Crime Drama Thriller,cold war weapon arms dealer,"Yuri Orlov is a globetrotting arms dealer and, through some of the deadliest war zones, he struggles to stay one step ahead of a relentless Interpol agent, his business rivals and even some of his customers who include many of the world's most notorious dictators. Finally, he must also face his own conscience.",9/16/2005,"Where there's a will, there's a weapon",Lord of War,Nicolas Cage Bridget Moynahan Jared Leto Ethan Hawke Eamonn Walker,Andrew Niccol
31000000,Drama Adventure Action History,countryside loss of lover right and justice patriot,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.,12/19/2002,One man's strength will unite an empire.,Hero,Jet Li Tony Leung Chiu-Wai Maggie Cheung Donnie Yen Zhang Ziyi,Zhang Yimou
40000000,Action Comedy Crime,bounty hunter based on novel romance framed bail jumper,"An unemployed lingerie buyer convinces her bail bondsman cousin to give her a shot as a bounty hunter. Her first assignment is to track down a former cop on the run for murder – the same man who broke her heart years before. With the help of some friends and the best bounty hunter in the business, she slowly learns what it takes to be a true bounty hunter.",1/26/2012,She's looking for a few not-so-good men,One for the Money,Katherine Heigl Jason O'Mara Daniel Sunjata John Leguizamo Sherri Shepherd,Julie Anne Robinson
44000000,Action Comedy,cia coup d'etat north korea assassination attempt evil dictator,"Dave Skylark and his producer Aaron Rapoport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission.",12/25/2014,The Film Hackers Tried To Get Banned,The Interview,James Franco Seth Rogen Lizzy Caplan Randall Park Diana Bang,Seth Rogen
42000000,Adventure Fantasy Action Western Thriller,assassin small town forest revenge deception,"An Asian assassin (Dong-gun Jang) is forced to hide in a small town in the American Badlands. Also starring Kate Bosworth, Danny Huston, Tony Cox and Academy Award winner Geoffrey Rush.",12/2/2010,Assassin. Hero. Legend.,The Warrior's Way,Kate Bosworth Jang Dong-gun Geoffrey Rush Danny Huston Ti Lung,Sngmoo Lee
33000000,Action Comedy Crime,unemployment contortionist human cannonball,"A man and his friends come up with an intricate and original plan to destroy two big weapons manufacturers.  Avid movie-watcher and video store clerk Bazil has had his life all but ruined by weapons of war. His father was killed by a landmine in Morocco and one fateful night a stray bullet from a nearby shootout embeds itself in his skull, leaving him on the verge of instantaneous death. Losing his job and his home, Bazil wanders the streets until he meets Slammer, a pardoned convict who introduces him to a band of eccentric junkyard dealers including Calculator, a math expert and statistician, Buster, a record-holder in human cannonball feats, Tiny Pete, an artistic craftsman of automatons, and Elastic Girl, a sassy contortionist. When chance reveals to Bazil the two weapons manufacturers responsible for building the instruments of his destruction, he constructs a complex scheme for revenge that his newfound family is all too happy to help set in motion.",10/28/2009,Non Stop Madness,Micmacs,Dany Boon Dominique Pinon Andr\u00e9 Dussollier Jean-Pierre Marielle Julie Ferrier,Jean-Pierre Jeunet
41000000,Drama,individual street gang adolescence rap music hip-hop,"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.",11/8/2002,Every moment is another chance.,8 Mile,Eminem Mekhi Phifer Brittany Murphy Kim Basinger Michael Shannon,Curtis Hanson
0,Adventure Comedy Animation,animation evolution humanity,"Based on the novel 'Evolution Man' by Roy Lewis, this tells the story about the first man - young Edward - to descend from apes. Edward is ejected by his tribe, but is very resourceful. He learns to walk, discovers fire, manages to hunt - and we follow him as he evolves. He has a generous nature, and search for true humanity - a world where we don't eat our fathers.",4/8/2015,These feet are made for walkin',Why I Did (Not) Eat My Father,Jamel Debbouze Ari\u00e9 Elmaleh M\u00e9lissa Theuriau Patrice Thibaud Christian Hecq,Jamel Debbouze
65000000,Adventure Drama Romance Action,poetry knight tournament duel torture,"William Thatcher, a peasant, is sent to apprentice with a Knight named Hector as a young boy. Urged by his father to ""change his Stars"", he assumes Sir Hector's place in a tournament when Hector dies in the middle of it. He wins. With the other apprentices, he trains and assumes the title of Sir Ulrich von Lichtenstein.",5/11/2001,He Will Rock You,A Knight's Tale,Heath Ledger Rufus Sewell Shannyn Sossamon Paul Bettany Laura Fraser,Brian Helgeland
41000000,Thriller Fantasy Action Comedy,detective medallion leather jacket wretch fighter,A Hong Kong detective suffers a fatal accident involving a mysterious medallion and is transformed into an immortal warrior with superhuman powers.,8/15/2003,,The Medallion,Jackie Chan Lee Evans Claire Forlani Julian Sands John Rhys-Davies,Gordon Chan
40000000,Mystery Thriller Drama,child abuse sense of guilt loss of child confidence psychology,"A psychological thriller about an eight year old boy named Cole Sear who believes he can see into the world of the dead. A child psychologist named Malcolm Crowe comes to Cole to help him deal with his problem, learning that he really can see ghosts of dead people.",8/6/1999,Not every gift is a blessing.,The Sixth Sense,Bruce Willis Toni Collette Olivia Williams Haley Joel Osment Donnie Wahlberg,M. Night Shyamalan
42000000,Action Thriller Crime,deception new york city rooftop diamond heist framed for a crime,"An ex-cop turned con threatens to jump to his death from a Manhattan hotel rooftop. The NYPD dispatch a female police psychologist to talk him down. However, unbeknownst to the police on the scene, the suicide attempt is a cover for the biggest diamond heist ever pulled.",1/13/2012,You can only push an innocent man so far,Man on a Ledge,Sam Worthington Elizabeth Banks Jamie Bell Ed Harris Edward Burns,Asger Leth
41000000,Comedy,helicopter based on novel honeymoon airplane birding,"Three fanatical bird-watchers spend an entire year competing to spot the highest number of species as El Nino sends an extraordinary variety of rare breeds flying up into the U.S., but they quickly discover that there are more important things than coming out on top of the competition",10/13/2011,Everyone is searching for something.,The Big Year,Owen Wilson Steve Martin Jack Black Rashida Jones Jim Parsons,David Frankel
8000000,Drama,flat taskmaster karate egg kids and family,"Hassled by the school bullies, Daniel LaRusso has his share of adolescent woes. Luckily, his apartment building houses a resident martial arts master: Kesuke Miyagi, who agrees to train Daniel ... and ends up teaching him much more than self-defense. Armed with newfound confidence, skill and wisdom, Daniel ultimately faces off against his tormentors in this hugely popular classic underdog tale.",6/22/1984,Only the 'Old One' could teach him the secrets of the masters.,The Karate Kid,Ralph Macchio Pat Morita William Zabka Martin Kove Chad McQueen,John G. Avildsen
40000000,Drama Crime,con artist scam mobster fbi agent,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.",12/12/2013,Everyone Hustles To Survive,American Hustle,Christian Bale Bradley Cooper Amy Adams Jeremy Renner Jennifer Lawrence,David O. Russell
40000000,Comedy Romance Drama,fictitious marriage deportation immigration law romantic comedy alaska,"When she learns she's in danger of losing her visa status and being deported, overbearing book editor Margaret Tate forces her put-upon assistant, Andrew Paxton, to marry her.",6/1/2009,Here comes the bribe...,The Proposal,Sandra Bullock Ryan Reynolds Mary Steenburgen Craig T. Nelson Betty White,Anne Fletcher
70000000,Crime Drama Mystery Thriller,prison sailboat sailing trip new orleans women's prison,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him.",9/24/1999,Murder isn't always a crime.,Double Jeopardy,Tommy Lee Jones Ashley Judd Bruce Greenwood Annabeth Gish Benjamin Weir,Bruce Beresford
40000000,Adventure Comedy Family Science Fiction,skateboarding flying car car race delorean lightning,"Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.",11/20/1989,"Roads? Where we're going, we don't need roads!",Back to the Future Part II,Michael J. Fox Christopher Lloyd Lea Thompson Elisabeth Shue James Tolkan,Robert Zemeckis
40000000,Action Science Fiction,artificial intelligence telepathy intelligence drug mule telekinesis,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",7/14/2014,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,Lucy,Scarlett Johansson Morgan Freeman Choi Min-sik Amr Waked Julian Rhind-Tutt,Luc Besson
40000000,Drama Romance Thriller,based on novel perversion spanking billionaire bdsm,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",2/11/2015,Are you curious?,Fifty Shades of Grey,Dakota Johnson Jamie Dornan Jennifer Ehle Eloise Mumford Victor Rasuk,Sam Taylor-Johnson
38000000,Action Adventure Comedy Family Science Fiction,video game intelligence liberation child hero mission,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.",7/25/2003,3rd Mission. 3rd Dimension.,Spy Kids 3-D: Game Over,Antonio Banderas Carla Gugino Alexa PenaVega Daryl Sabara Sylvester Stallone,Robert Rodriguez
40000000,Crime Drama Thriller,ku klux klan rape mississippi jurors blackmail,"A young lawyer defends a black man accused of murdering two men who raped his 10-year-old daughter, sparking a rebirth of the KKK.",7/24/1996,Experience a time you'll never forget.,A Time to Kill,Matthew McConaughey Sandra Bullock Samuel L. Jackson Kevin Spacey Oliver Platt,Joel Schumacher
40000000,Comedy,big family new job aspiring actor smart kid,"The Baker brood moves to Chicago after patriarch Tom gets a job coaching football at Northwestern University, forcing his writer wife, Mary, and the couple's 12 children to make a major adjustment. The transition works well until work demands pull the parents away from home, leaving the kids bored -- and increasingly mischievous.",12/24/2003,Growing pains? They've got twelve of them!,Cheaper by the Dozen,Steve Martin Bonnie Hunt Piper Perabo Tom Welling Hilary Duff,Shawn Levy
40000000,Action Drama Thriller War,war survival navy seal military dangerous mission,"Based on the failed June 28, 2005 mission ""Operation Red Wing."" Four members of SEAL Team 10, were tasked with the mission to capture or kill notorious Taliban leader, Ahmad Shah. Only one member of the team survived.",12/24/2013,Based on True Acts of Courage,Lone Survivor,Mark Wahlberg Taylor Kitsch Emile Hirsch Ben Foster Yousuf Azami,Peter Berg
40000000,Comedy,baseball world war ii sport baseball player female athlete,"Small-town sisters Dottie and Kit join an all-female baseball league formed after World War II brings pro baseball to a standstill. When their team hits the road with its drunken coach, the siblings find troubles and triumphs on and off the field.",7/1/1992,"To achieve the incredible, you have to attempt the impossible.",A League of Their Own,Tom Hanks Geena Davis Madonna Lori Petty Jon Lovitz,Penny Marshall
40000000,Horror,london england england 1970s spirit single mother,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,5/13/2016,The next true story from the case files of Ed and Lorraine Warren,The Conjuring 2,Patrick Wilson Vera Farmiga Madison Wolfe Frances O'Connor Lauren Esposito,James Wan
40000000,Drama,hacker hacking creator frat party social network,"On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room as a small site among friends soon becomes a global social network and a revolution in communication. A mere six years and 500 million friends later, Mark Zuckerberg is the youngest billionaire in history... but for this entrepreneur, success leads to both personal and legal complications.",9/30/2010,You don't get to 500 million friends without making a few enemies.,The Social Network,Jesse Eisenberg Andrew Garfield Justin Timberlake Armie Hammer Max Minghella,David Fincher
40000000,Comedy Romance Drama,relationship ensemble cast duringcreditsstinger,"Remember that really cute guy who said he'd call – and didn't? Maybe he lost your number. Maybe he's in the hospital. Maybe he's awed by your beauty, brains or success. Or maybe... he's just not that into you.",2/6/2009,Are you the exception...or the rule?,He's Just Not That Into You,Ben Affleck Jennifer Aniston Drew Barrymore Jennifer Connelly Kevin Connolly,Ken Kwapis
